Tweet,Sentiment,Opinionated
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Negative,No
"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",Negative,No
"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",Negative,No
South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link],Negative,No
"Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]",Negative,No
James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link],Negative,No
I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link],Negative,Yes
Report: Save the Whales and They'll Save Us from Global Warming [link],Negative,No
RT @indiaenvportal: The contribution of organic agriculture to climate change mitigation [link],Negative,No
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link],Negative,No
"#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: [link]",Negative,Yes
#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link],Negative,No
RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link],Negative,Yes
RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link],Positive,Yes
Global warming science good news - Soils release less carbon than though as world warms: [link],Negative,No
"So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !",Negative,No
"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",Negative,No
"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",Negative,No
West Mediterranean countries unite on climate change (AFP) [link],Negative,No
Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link],Negative,No
"3,000 Businesses Create New Ad for Climate Change Action [link]",Negative,No
"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win.""",Negative,No
Just heard an interesting report on report on understanding climate change/climate variability influence on human evolution and dispersal,Negative,No
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Negative,No
RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link],Negative,No
New blog post: Mandating energy benchmarking: The next step for cities in addressing #climate change? [link],Negative,No
RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!,Negative,No
How much trouble does global warming mean for agriculture? Just ask the wine industry. [link],Negative,No
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] [link],Negative,No
"Climate Change: From Paris to the Alps, European Places in Peril (photos) [link]",Negative,No
How Climate Change Will Change The Electoral Map: The National Oceanic and Atmospheric Administration isn't known ... [link],Negative,No
"M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...",Negative,No
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Negative,No
"Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. [link]",Negative,No
Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link],Negative,Yes
"How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on ""Climate Change in Califor... [link]",Negative,No
RT @uncajoe: uncajoe: PLZ RT & #Digg Climate Of Hate: The Politics Of Climate Change Denial: As H... [link],Negative,Yes
"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",Negative,No
"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",Negative,No
Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - [link],Positive,Yes
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],Negative,No
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],Negative,No
"Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... [link]",Negative,Yes
RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  [link],Negative,No
RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link],Negative,Yes
scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: [link],Negative,Yes
RT @thompsonPLC @boliviaun Pres Evo Morales in @LATimes climate change:lessons from indigenous peoples [link],Negative,No
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Negative,No
MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change [link],Negative,Yes
a review of yesterday's discussions: [link],Negative,Yes
Global Warming Kills Forests In Colorado [link],Negative,No
Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... [link],Negative,No
Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link],Negative,No
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],Negative,No
"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",Negative,No
"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",Negative,No
Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link],Negative,No
Official NASA Report: Sun Causes Climate Change:  [link],Negative,Yes
RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],Negative,Yes
RT @sciam: Impacts of Climate Change Extend to Human Health [link],Negative,No
Impacts of Climate Change Extend to Human Health [link],Negative,No
The good news about the very bad news (about climate change) by Rebecca Solnit [link],Negative,Yes
Alpha Phi Alpha Takes on Climate Change and Energy Efficiency - [link],Negative,No
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],Negative,No
"Natural variability does not explain global warming, climate scientists tell popular TV meteorologist [link]",Negative,No
Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) [link],Negative,Yes
"Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La [link]",Negative,No
African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI [link],Negative,No
Economists Say Climate Change Is Bad For Economy [link],Negative,Yes
Economists Say Climate Change Is Bad For Economy [link],Negative,Yes
Report: Allergy Season to Get Worse with Climate Change (Time.com) [link],Negative,Yes
Don•À_t Kill Bill •À_ Save the Climate Change Accountability Act! [link],Negative,No
RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],Negative,No
"Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics [link]",Negative,No
RT @Oxfam: #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],Negative,No
"ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect",Negative,No
Earth Day: Ben Verwaayen on what we're doing to curb climate change [link],Negative,No
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Negative,No
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Negative,No
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Negative,No
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Negative,No
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],Negative,No
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link],Negative,No
Climate change could raise cost of U.S. allergies (Reuters) [link],Negative,No
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link],Negative,No
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link],Negative,No
well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],Negative,Yes
Military leads fight against climate change [link],Negative,No
"Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... [link]",Negative,No
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link],Negative,No
Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. [link],Negative,No
Fighting poverty and global warming in Africa [link],Negative,No
RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green [link],Negative,No
[link],Negative,No
Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link],Negative,No
"UN •À_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary •À_: The United Nations seeks dialogue, i... [link]",Negative,No
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Negative,No
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Negative,No
"rt @democracy_now ""Most Important Event in Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey [link]",Negative,Yes
Military leads fight against climate change: Pew [link],Negative,No
Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake [link],Negative,No
For Earth Day: Resources on coping with climate change: [link],Negative,Yes
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Negative,No
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Negative,No
"Fedele Bauccio: Combating Climate Change One Meal at a Time: This week, Americans will celebrate the 40th anniver... [link]",Negative,No
"RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live [link]",Negative,No
Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one,Negative,No
Topography of mountains could complicate rates of global warming [link],Negative,No
"RT @mrdannyglover i support the world people's conference on climate change in cochabamba, bolivia. watch live now at [link]",Negative,No
"Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change",Negative,No
RT @hereisawayjose Bolivia President on Global Warming [link],Negative,No
RT @indiawater: Boiling Point: Containing the spill over of climate change in the Indian subcontinent - A•À_ [link],Negative,No
"No link now between Eyjafjallaj•__kull and climate change, but a warming world could trigger earthquakes, landslides... [link]",Negative,No
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Negative,No
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Negative,No
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Negative,No
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Negative,No
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Negative,No
Ethiopia: Climate Change Increasing Poverty And Vulnerability [link],Negative,No
Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... [link],Negative,No
"RT @democracy_now: ""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]",Negative,Yes
"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]",Negative,Yes
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Negative,No
RT @energysection: Backgrounder: China's major policies to tackle climate change since year 2000.. [link],Negative,No
"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]",Negative,No
"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]",Negative,No
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Negative,No
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Negative,No
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Negative,No
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link],Negative,No
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link],Negative,No
"Climate Change: Could NYC Get Katrina-Like Flood in a Warmer, Wetter Future? - Sea Level Rise of 2 Feet in 70yrs [link]",Negative,No
Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future •À_  Melt Could Come FAST [link],Negative,No
"""Either Capitalism dies or Mother Earth does"" Evo Morales Claims in the People's World Conference on Climate Change [link]",Negative,No
RT @rubberstamprosk: RT @MotherJones: Yet another gift from global warming: increased allergy attacks [link],Negative,No
Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... [link],Negative,No
Buying carbon offsets may ease eco-guilt but not global warming: [link],Negative,No
"RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout"" [link]",Negative,No
"RT @EcoSteward: This #EcoMonday, @InvasiveNotes discussion of climate change and invasive species recommended: [link]",Negative,Yes
Migratory Birds' New Climate Change Strategy: Stay Home [link],Negative,No
On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversity[link],Negative,No
Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? [link],Negative,No
RT @NWF: New York City's new waterfront plan will take climate change into consideration: [link],Negative,Yes
Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change [link],Negative,No
Seasonal Allergies Getting Worse From Climate Change [link],Negative,Yes
"Just because I believe in global warming, peeps thinks I should believe in god instead. Why??",Negative,No
Seasonal Allergies Getting Worse From Climate Change [link],Negative,Yes
Seasonal Allergies Getting Worse From Climate Change [link],Negative,Yes
@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!,Negative,No
"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]",Negative,No
"Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... [link]",Negative,Yes
RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link],Negative,No
"Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com [link]",Negative,No
"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco [link]",Negative,No
[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse [link],Negative,No
"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]",Negative,No
STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link],Negative,No
"Global warming, melting ice caps could trigger more volcanic eruptions: [link]",Negative,No
@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*,Negative,No
An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... [link],Negative,No
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link],Negative,No
"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""",Negative,No
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Negative,No
"RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws [link]",Negative,No
RT @TreeHugger: In case you were wondering: What Impact Will The Volcano In Iceland Have On Climate Change? [link],Negative,No
"Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. [link]",Negative,No
RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   [link],Negative,Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Negative,No
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link],Negative,No
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link],Negative,No
Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??,Negative,No
Climate Change-ing your Allergies [link],Negative,No
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Negative,No
"Obama says China can't 'wait' on climate change: Sydney (AFP) April 15, 2010 - US President Barack Obama on Thursd... [link]",Negative,No
RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves,Negative,Yes
RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.,Negative,No
"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro",Negative,Yes
